Nome,Sigla,Frequenza
DO2,C2,66.0
DO#2,C#2,70.0
RE2,D2,74.0
RE#2,D#2,78.0
MI2,E2,83.0
FA2,F2,88.0
FA#2,F#2,93.0
SOL2,G2,98.0
SOL#2,G#2,104.0
LA2,A2,110.0
LA#2,A#2,117.0
SI2,B2,124.0
DO3,C3,131.0
DO#3,C#3,139.0
RE3,D3,147.0
RE#3,D#3,156.0
MI3,E3,165.0
FA3,F3,175.0
FA#3,F#3,185.0
SOL3,G3,196.0
SOL#3,G#3,208.0
LA3,A3,220.0
LA#3,A#3,233.0
SI3,B3,247.0
DO4,C4,262.0
DO#4,C#4,277.0
RE4,D4,294.0
RE#4,D#4,311.0
MI4,E4,330.0
FA4,F4,349.0
FA#4,F#4,370.0
SOL4,G4,392.0
SOL#4,G#4,415.0
LA4,A4,440.0
LA#4,A#4,466.0
SI4,B4,494.0
DO5,C5,523.0
DO#5,C#5,554.0
RE5,D5,587.0
RE#5,D#5,622.0
MI5,E5,659.0
FA5,F5,698.0
FA#5,F#5,740.0
SOL5,G5,784.0
SOL#5,G#5,831.0
LA5,A5,880.0
LA#5,A#5,932.0
SI5,B5,988.0
DO6,C6,1046.0
DO#6,C#6,1109.0
RE6,D6,1175.0
RE#6,D#6,1245.0
MI6,E6,1319.0
FA6,F6,1397.0
FA#6,F#6,1480.0
SOL6,G6,1568.0
SOL#6,G#6,1661.0
LA6,A6,1760.0
LA#6,A#6,1865.0
SI6,B6,1976.0
DO7,C7,2093.0
DO#7,C#7,2217.0
RE7,D7,2349.0
RE#7,D#7,2489.0
MI7,E7,2637.0
FA7,F7,2794.0
FA#7,F#7,2960.0
SOL7,G7,3136.0
SOL#7,G#7,3322.0
LA7,A7,3520.0
LA#7,A#7,3729.0
SI7,B7,3951.0
DO8,C8,4186.0
